Date,Customer_ID,Product_ID,Quantity,Unit_Price,Sales_Revenue,Product_Description,Product_Category,Product_Line,Raw_Material,Region,Latitude,Longitude
20240206,40,360,10,37.7,377.0,Polo Shirts,Womenswear,Trousers,Fabrics,Worcester,40.885497,73.661005
20230630,17,391,5,89.26,446.3,Tshirts,Accessories,Shoes,Wool,Truro,60.438329,98.422007
20240311,2,329,10,61.05,610.5,Ties,Menswear,Tops,Leather,Wells,6.882673,-81.830803
20240131,36,321,5,41.68,208.4,Casual Shirts,Womenswear,Shoes,Cashmere,Truro,-84.5769555,131.171699
20240517,3,368,4,29.6,118.4,Pyjamas,Womenswear,Leathers,Polyester,Winchester,61.287203,-158.397984
20231122,56,352,5,57.69,288.45,Cycling Jerseys,Accessories,Trousers,Cashmere,Wells,58.0990965,65.319491
20240405,62,293,7,73.37,513.59,Belts,Womenswear,Trousers,Wool,Worcester,89.4235375,56.370467
20240205,10,380,5,57.16,285.8,Belts,Accessories,Shoes,Cotton,York,-31.7520845,33.600044
20240201,12,264,4,25.05,100.2,Pyjamas,Accessories,Shoes,Wool,Truro,-29.704945,95.039101
20240430,29,325,8,24.45,195.6,Ties,Menswear,Tops,Cotton,Worcester,-52.324698,-84.353157
20231024,98,358,4,64.57,258.28,Casual Shirts,Sports,Tops,Cotton,Wakefield,44.3589365,45.081002
20240530,6,266,3,45.16,135.48,Shorts,Sports,Trousers,Wool,Wakefield,-81.9167125,131.905471
20231027,56,217,2,55.48,110.96,Jeans,Menswear,Tops,Cashmere,Wells,32.840536,169.565458
20240521,81,393,1,19.56,19.56,Casual Shirts,Womenswear,Shoes,Fabrics,Truro,-74.023924,177.247767
20240605,6,281,7,67.05,469.35,Shorts,Sports,Trousers,Leather,York,-15.0755035,-99.629995
20231212,28,289,6,40.78,244.68,Formal Shirts,Menswear,Shoes,Cashmere,Wells,-43.1496125,-145.913342
20231017,4,393,10,60.45,604.5,Formal Shirts,Menswear,Leathers,Cotton,Wakefield,6.9718735,58.101050
20230903,98,366,9,21.73,195.57,Knitwear,Sports,Leathers,Cashmere,Wakefield,31.428802,-66.363656
20231219,21,233,10,77.29,772.9,Knitwear,Accessories,Trousers,Cashmere,Truro,62.8817625,-76.105385
20240531,20,240,4,73.04,292.16,Dress,Menswear,Leathers,Wool,Wells,-88.3008935,108.057973
20230923,23,347,2,77.79,155.58,Pants,Menswear,Tops,Cashmere,Winchester,-54.7854015,45.662288
20240314,40,305,3,58.42,175.26,GolfShoes,Accessories,Tops,Cashmere,Wakefield,-69.591966,88.555079
20240203,16,239,6,82.49,494.94,Knitwear,Menswear,Tops,Cotton,York,-67.791493,-81.105867
20231216,12,274,10,56.61,566.1,Underwear,Sports,Shoes,Cashmere,Wells,-71.9906065,-16.103154
20230930,50,254,1,94.05,94.05,Ties,Accessories,Leathers,Polyester,Truro,9.904528,76.808007
20231201,29,232,10,15.42,154.2,Tshirts,Womenswear,Trousers,Cashmere,Wells,23.235964,-98.351687
20240307,86,330,10,11.97,119.7,Formal Shirts,Accessories,Shoes,Cotton,Wakefield,-83.8800055,-109.366024
20231109,83,220,7,85.98,601.86,Tshirts,Accessories,Leathers,Wool,Winchester,11.346225,98.444475
20230901,23,294,1,42.39,42.39,Pyjamas,Accessories,Tops,Cashmere,Wells,-45.3116995,-103.049184
20240306,80,393,10,74.45,744.5,Suits,Womenswear,Tops,Cashmere,Winchester,-59.6607445,-103.864635
20231221,32,265,10,54.09,540.9,Suits,Womenswear,Shoes,Cashmere,Truro,74.900416,118.520116
